,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
0,On the Other Foot,2022,ComedyFantasy,4.1 / 10,https://yts.rs/movie/on-the-other-foot-2022," Billy Pitcher is racist. His daughter dates a black man and convinces him to attend an African church to embrace her partners culture. He miraculously wakes up the next morning in a black person's body. ",7272
1,See You Then,2021,Drama,5.5 / 10,https://yts.rs/movie/see-you-then-2021," A decade after abruptly breaking up with Naomi, Kris invites her to dinner to catch-up on their complicated lives, relationships, and Kris' transition. ",6464
2,Der Wilde Wald,2021,Documentary,6.9 / 10,https://yts.rs/movie/der-wilde-wald-2021," An impenetrable thicket, lynx roaming through the undergrowth and countless beetles living in rotten tree trunks. In the middle of densely populated Europe, nature is allowed to reclaim its habitat. In the Bavarian Forest National Park, a vision has become a pioneering showcase project worldwide: Humans do not interfere with nature. ""Let nature be nature"" is the philosophy. It was a unique experiment that triggered massive resistance among the population. The result, however, continues to amaze to this day.The result, however, continues to amaze until this day. A primeval forest is growing out of the former commercial forests, a unique ecosystem and a refuge of biodiversity. Why is it so difficult for us not to shape or even exploit nature and instead to slip into the role of a wondering observer? Why do we need more wild nature? And what can we learn from it to preserve forests for future generations in times of climate change? Behavioural scientist and peace ambassador of the United Nations Dr Jane Goodall comments on this, as well as locals and researchers who frequent this special national park. Wild heart of Europe - The Return of an Ancient Forest is more than an atmospherically dense nature movie and a sensual journey through the forest ecosystem. It takes a stand on current issues and shows with impressive images that it can exist: the coexistence of man and untouched, wild nature. ",3838
3,The Mother the Son the Rat and the Gun,2021,CrimeThriller,6.2 / 10,https://yts.rs/movie/the-mother-the-son-the-rat-and-the-gun-2021," When a professional assassin kills powerful mafia boss Oleg, widowed Gertrude takes over as the new leader of the organisation along with their son, Max. As challenges pile up and Oleg's murder remains unsolved, Gertrude assembles a team to get to the bottom of the mystery. And, little by little, amid deception, greed, and violence, secrets come to light, and warm, bright-red blood follows. But family is above all. However, what happens if the enemy is everywhere? Whom can you trust when power is the ultimate aphrodisiac? —Nick Riganas ",14443
4,Father of Flies,2021,Horror,5.4 / 10,https://yts.rs/movie/father-of-flies-2021," A haunting tale of family life. A vulnerable young boy finds his mother pushed out of the family home by a strange new woman, and he must confront the terrifying supernatural forces that seem to move in with her. ",8282
5,Pokémon the Movie: Diancie and the Cocoon of Destruction,2014,ActionAdventure,5.5 / 10,https://yts.rs/movie/pokemon-the-movie-diancie-and-the-cocoon-of-destruction-2014," When Diancie a Pokémon said to create diamond travels to find Xerneas to help her make a heart diamond to save her home, Ash, Serena, Clemont and Bonnie help her to be safe on the way from thieves. ",5656
6,Smokin' on the Moon,2017,ComedyDrama,5.6 / 10,https://yts.rs/movie/smokin-on-the-moon-2017," Two young men, Sota and Rakuto make a living by working at a bar while illegally trafficking marijuana. They're not gangsters, more like wanna-be gangsters. Lacking motivation and a plan, they're at the bottom of the bucket and always tripping over their past. But they are gradually choosing different paths as Rakuto meets a single mother and in order to support his new family, he is involved in more risky business run by a nutty and cruel yakuza. After years of silence, Sota is visited by a young woman with an unexpected news. ",2727
7,Rabbit Academy: Mission Eggpossible,2022,AdventureAnimation,6.8 / 10,https://yts.rs/movie/rabbit-academy-mission-eggpossible-2022," In the bunny school, the the appointment of the new ""master bunnies"" by the magical golden egg is happening. After selecting Max, a city bunny, as the champion bunny candidate, the golden egg suddenly turns black. ",11009
8,Glassland,2014,Drama,6 / 10,https://yts.rs/movie/glassland-2014," Set in Dublin, 'Glassland' tells the story of a young taxi driver who gets tangled up in the world of human trafficking while trying to save his mother from drug addiction. ",7272
9,Odd Jobs,1986,Comedy,4.5 / 10,https://yts.rs/movie/odd-jobs-1986," Four students who work on different jobs during their vacations in summer are tired of doing the same thing every year. Therefore they decide to open up a moving company together and confront themselves with the former boss of one of them. —Volker Boehm ",6161
