,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
0,My Name Is Jonah,2014,ActionBiography,7.9 / 10,https://yts.rs/movie/my-name-is-jonah-2014," What is the secret origin of this self-proclaimed 'real-life warrior, adventurer and musician'? How has he gained his tremendous cult following? Steel yourselves for a quest to explore how this enigmatic personality came to be and the powerful effect he has on all those he meets. Prepare to be amazed at just how ordinary your own life really is... —Anonymous ",2929
1,She Shears,2018,Documentary,8.6 / 10,https://yts.rs/movie/she-shears-2018," In the gruelling world of competitive sheep shearing there is no women's section. Women and men compete together. She Shears is the story of passion, purpose and determination and five women for whom shearing is not just a job. ",2828
2,Journey to Shiloh,1968,DramaWar,5.6 / 10,https://yts.rs/movie/journey-to-shiloh-1968," At the onset of the Civil War, seven young Texans decide to join General Hood's Texas regiment in Richmond. During their long horseback voyage from Texas to Virginia, the seven young men will witness first-hand the Southern prejudice and snobbery. They also will witness the lynching of runaway black slaves. Filled with dreams of war glory, they will nevertheless push ahead toward their destination. Their trek eastward is eventful and fraught with dangers, as the Texans will occasionally get into trouble with the townsfolk from various towns. Although they do eventually join the Confederate forces, it will happen in Shiloh, Tennessee not in Richmond, Virginia as planned. After becoming soldiers, they realize that war is not what they expected or dreamed about. The army and the war are not at all compatible with the core human values of ordinary Texans. The battle of Shiloh is the epitaph of this story. —nufs68 ",3838
3,The Over-Eater,2003,CrimeDrama,6.2 / 10,https://yts.rs/movie/the-over-eater-2003," An obese Police Inspector traumatized by a childhood incident falls in love with a murder suspect. ",2121
4,The Cement Garden,1993,Drama,7 / 10,https://yts.rs/movie/the-cement-garden-1993," After the death of her husband, the mother of Julie, Jack, Sue and Tom begins to suffer from an unidentified illness. Rather than going to hospital, and letting the authorities foster her children, she opens a bank account for them so they can be financially self-sufficient and will be able to avoid being taken into care by the authorities. After she dies, the 2 older siblings decide to hide her body in the basement. Soon they begin to suffer, both the emotional strains and pressures of their situation, as well as the changes which happen during adolescence. —Jagged-11 ",5353
5,Night Games,1966,Drama,6.3 / 10,https://yts.rs/movie/night-games-1966," Jan returns with his fiancée to his childhood home. While there he flashes back to his childhood, twenty years before when he lived an unfettered life watched over by a strange great-aunt and a hedonistic and often neglectful mother and father. In particular he remembers watching his mother give birth to a stillborn child after refusing to go to the hospital in the middle of a party and his sexual obsession with his mother which included being caught by her while he was masturbating while listening to her read a bedtime story. In the present, his relationship with his fiancée grows more strained as his past begins to affect the way he acts in the present. —Wiki ",3030
6,The Taming of the Shrewd,2022,ComedyRomance,4.6 / 10,https://yts.rs/movie/the-taming-of-the-shrewd-2022," When a heartbroken scientist moves back home to start over, her scheming brother hires a handsome stranger to convince her to sell their land. ",4040
7,A Matter of Interpretation,2014,Drama,6.6 / 10,https://yts.rs/movie/a-matter-of-interpretation-2014," A grumpy actress, her lost ex-boyfriend, a friendly detective, and his damaged sister form the web of enchanted melancholy, with the help of a little soju. ",2020
8,Rose,2021,ComedyDrama,6.7 / 10,https://yts.rs/movie/rose-2021," Rose, 78, has just lost her most beloved husband. When her grief gives way to a powerful impulse of life that makes her realize that she can still redefine herself as a woman, the whole balance of the family is upset. ",2525
9,Pullman,2019,Action,6.2 / 10,https://yts.rs/movie/pullman-2019," Two kids experience an initiatory journey during their first day of summer holidays. ",2424
10,Pilgrimage,1933,Drama,7.3 / 10,https://yts.rs/movie/pilgrimage-1933," A possessive mother pushes her son into World War I service rather than see him get married. ",3434
11,Two Flags West,1950,DramaRomance,6.8 / 10,https://yts.rs/movie/two-flags-west-1950," During the Civil War, in 1863,Confederate prisoners of war agree to join forces with the Union Army in the common fight against Indians.In return,the Confederate POWs are promised their freedom by President Lincoln during his Special Proclamation.A company of Confederate Georgia cavalry POWs,under the command of Confederate Colonel Clay Tucker, joins the Union on the sole condition they wouldn't have to fight against the Confederacy.The company is sent to the isolated and undermanned Fort Thorn, New Mexico, on the Western frontier. The fort is commanded by Union major Henry Kenniston who is limping from an old war wound and who hates Confederates.The old animosities between Unionists and Confederates quickly resurface during their fragile alliance against the Indians. —nufs68 ",2525
12,Electronic Music Awards & Foundation,2022,Music,0 / 10,https://yts.rs/movie/electronic-music-awards-foundation-2022,"  ",2828
13,A Royal Runaway Romance,2022,Romance,7 / 10,https://yts.rs/movie/a-royal-runaway-romance-2022," Princess Amelia is first in line to the throne of Bundbury, that ascension sooner than later in her widowed mother, Queen Ava, already having made known her intention imminently to abdicate. While Amelia accepts her responsibility, she has not much liked her lack of freedom over the course of her life in wanting to experience some of it without the strict royal protocols. That experience extends to romance in wanting whatever eventual matrimonial match to be borne not out of royal arrangement but rather out of love, which she feels can only happen in that freedom of experiencing life. In that vein, she wants at least to discover if a connection she made with Chicago-based artist Wes Riverton, who was commissioned to paint her portrait, could be love, the weeks of portrait sittings which only gave each the idea that they are attracted to each other and want to continue to see each other, something that the protective Queen, if she knew, would probably not allow. Under the guise of celebrating with her maternal Uncle Andreas on his birthday in his home base of Beverly Hills, he the Bundbury emissary to the US, Amelia plans to escape the watchful eyes not only of her mother and her uncle while in Los Angeles, but also Grady Beck, the bodyguard her uncle assigns to her, to travel to Chicago to reunite with Wes. While she knows that her secretary Camille is on her side, Amelia is surprised to learn that her uncle is a romantic at heart and allows her to go, unknown to the Queen, with an initially reluctant Grady assigned as her bodyguard/escort/driver. The road trip may provide the Princess exactly what she wants, that freedom, however, showing her a different part of life than she was expecting with Grady as her guide. —Huggo ",8686
14,Where Is Anne Frank,2021,AnimationDrama,6.3 / 10,https://yts.rs/movie/where-is-anne-frank-2021," The film follows the journey of Kitty, the imaginary friend to whom Anne Frank dedicated her diary. A fiery teenager, Kitty wakes up in the near future in Anne Frank's house in Amsterdam and embarks on a journey to find Anne, who she believes is still alive, in today's Europe. While the young girl is shocked by the modern world, she also comes across Anne's legacy. —Polly_Kat ",5959
15,History of the Occult,2020,Horror,6.5 / 10,https://yts.rs/movie/history-of-the-occult-2020," It's '60 minutes to Midnight's' last broadcast, the most famous journalism show on TV. Tonight's is Adrian Marcato, who might expose a conspiracy that links the Government with an actual Coven. ",3939
16,The Screaming Woman,1972,DramaHorror,6.8 / 10,https://yts.rs/movie/the-screaming-woman-1972," A wealthy former mental patient goes home to her estate to rest and recuperate. While walking the grounds one day she hears the screams of a woman coming from underneath the ground who has been buried alive. Her family, however, refuses to believe her story, and sees the incident as an opportunity to prove the woman's mind has snapped so they can take control of her money. —[email protected] ",5656
