,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
0,Down by Love,2016,BiographyDrama,5.9 / 10,https://yts.rs/movie/down-by-love-2016," Already incarcerated for four years, the rebellious teenager, Anna Amari, is transferred to a women's correctional facility, where right from the start, she will catch Jean Firmino's eye, the detention centre's director. But even though Jean is over twice Anna's age, in a seemingly good marriage, with a young daughter and a good job, his dangerous and powerful obsession for the sultry inmate will soon drag them both into an all-consuming and passionate love affair. Trapped behind the prison's thick walls, Jean will do everything to snatch a brief moment with the object of his desire, taking incrementally bigger risks despite gossip and consequences. Under those circumstances, is there a future in their reckless affair? —Nick Riganas ",6363
1,Alley Cat,2017,Comedy,6.5 / 10,https://yts.rs/movie/alley-cat-2017," A boxer's cat Maru goes missing. Soon after, he finds her in the arms of a blond-haired punk who calls her Lily and refuses to give her up. ",1919
2,Infinite Storm,2022,DramaThriller,5.4 / 10,https://yts.rs/movie/infinite-storm-2022," As an experienced climber (Naomi Watts) ascends Mt. Washington, she turns back before she reaches the summit as a huge blizzard approaches. But on her way down, she encounters a lone, stranded man, and takes it upon herself to get them both down the mountain before nightfall arrives and they succumb to the storm. Based on a true story. ",61509
3,Never Better,2022,ComedyDrama,4.9 / 10,https://yts.rs/movie/never-better-2022," Terese is a young woman with Cystic Fibrosis stuck in the time loop of quarantine. She fights her boredom with beer, weed, and an unstoppable internal dialogue. When her self-interested roommate returns and fails to practice safe social distancing, she finds that boredom may be the least of her worries. ",6464
4,Reign of Chaos,2022,Sci-Fi,2.2 / 10,https://yts.rs/movie/reign-of-chaos-2022," When the world is gripped by a plague unleashed by the evil lord Chaos, and humans are turned into rabid creatures, mankind can only be saved by three young women, descendants of a Goddess, with the power to stop Chaos' evil. ",17473
5,My Sweet Monster,2021,AdventureAnimation,5.8 / 10,https://yts.rs/movie/my-sweet-monster-2021," King is unable to believe the fact that his beloved child, Princess Barbara, is all grown up. He still tries to watch over the Princess, but the 16-year-old Barbara throws a tantrum at her birthday party. While everybody is distracted, the throne is seized by a sneaky post clerk Weasel. However, unsatisfied with being the sole ruler of the Kingdom, he also plans to marry Barbara. Princess Barbara runs away from the palace and finds herself deep in the woods. She bumps into Boogey the Outlaw and his friend the Wicked Rabbit. Barbara's interference wreaks havoc into the ordinary bachelor-style life of the two friends. Barbara meddles into everything, arranges her own set of rules, and keeps getting on their nerves with her assumptions about Prince Edward. She imagines how Prince Edward defeats the impostor, reinstates the King, and proposes to Barbara. Just like the books says. To get rid of Barbara, Boogey decides to go as far as to find the Prince Edward, stop the Weasel and restore the order in Kingdom. —Front Row Filmed Entertainment ",11211
6,Foundry Town,1962,Drama,7.3 / 10,https://yts.rs/movie/foundry-town-1962," Set in Kawaguchi, just north of Tokyo in the early 60s, the movie chronicles the lives of poor foundry workers and their families; and one girl's dreams of self-improvement through going on to higher education. ",1818
7,Enigma,2009,Sci-Fi,4.9 / 10,https://yts.rs/movie/enigma-2009," Floating dead in space, transport ship Genesis becomes an unsolvable mystery. All hands on board have been killed. What began as a simple transport mission for the crew of the Genesis, ends with not only their bloodshed, but the loss of an important military prisoner. The people of earth are in a time of crisis. They are waging war against a far superior opponent, an alien race called the Cnidarians. After a bloody assault on a military ship, the Vendetta, USSM special forces were able to capture their first Cnidarian prisoner, code named 71099. But commonly known through out the fleet as Ediolon, the phantom. Realizing that a military transport would be too obvious of a target to their enemy, the USSM enlisted the freelance ship Genesis, commanded by Nathaniel J Rhys to secretly transport the prisoner to the high security prison located on Mars' moon Demos. The ship never arrived. General Rothman immediately launches an investigation team, and is determined to get to the bottom of this mystery, for one of the dead was his niece, Kyleigh. He will not let her death be in vain. Even with all its efforts, what happened on this voyage is unclear to the investigation team. All are dead, but how, and why? Has earth lost its chance take an advantage in their losing war? Watch closely and see if you can discover the enigma of this doomed mission. —The Shumway Brothers ",4444
8,Pavement,2002,CrimeDrama,5.4 / 10,https://yts.rs/movie/pavement-2002," Samuel Browne is a tracker in Alaska. When his sister meets a grisly death in San Francisco, he goes there to hunt her killer. As more murders occur, Buckley Clarke, a police investigator, reluctantly joins forces with Sam. As they sort out clues - it's a slight person, perhaps a woman, who walks with a leg brace and rides the bus - they also find a mutual attraction. The brass are convinced this is a serial killer chosing victims at random, but Sam and Buckley discover a pattern involving health personnel who work in neonatal intensive care. Doctors aren't supposed to play god, but someone's decision years before has driven a killer over the brink. Can they find him? — ",4343
9,Intermezzo,1936,DramaRomance,6.5 / 10,https://yts.rs/movie/intermezzo-1936," The world-famous violinist Holger Brandt comes back to his family after a tour. He and his wife have been married for many years, but their love has gone. Their young daughter gets a new piano teacher, Anita Hoffman. Mr. Brandt fall in love with her and together they go on a world tour. But he soon discovers that the feelings for his wife that he thought were dead return. —Mattias Thuresson ",2323
