,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
0,Clowns in the Woods,2021,Horror,3.5 / 10,https://yts.rs/movie/clowns-in-the-woods-2021," Marcus, a young man with a disability, is bullied and killed after a prank goes wrong. In the afterlife, he meets a group of ghostly clowns who help him exact revenge on those who have wronged him. These killer clowns have their own slapstick methods of causing death and destruction. One of Marcus's few friends in life was his neighbor Amy, a lesbian college student. As the deaths pile up, Amy is determined to learn the deadly secret behind the recent wave of murders, not realizing that she may be putting herself and her loved ones in danger. —Adrian Esposito ",5959
1,Peep World,2010,ComedyDrama,5.6 / 10,https://yts.rs/movie/peep-world-2010," On the day of their Father's 70th birthday party, four siblings come to terms with the publication of a novel written by the youngest sibling, that exposes the family's most intimate secrets. —anonymous ",5151
2,"The Tree, the Mayor and the Mediatheque",1993,ComedyDrama,6.9 / 10,https://yts.rs/movie/the-tree-the-mayor-and-the-mediatheque-1993," In 1992, the socialist mayor of a little French town with the help of his contacts in Paris get the money to build a multimedia house. But the socialist party lose his majority in the election. But... But... Well everything would have been all right without those seven coincidences. —Jean-Marie Berthiaume ",2626
3,All the Old Knives,2022,Thriller,6.1 / 10,https://yts.rs/movie/all-the-old-knives-2022," Two CIA operatives, and former lovers, reunite at idyllic Carmel-by-the-Sea to re-examine a mission from eight years earlier in Vienna where a fellow agent might have been compromised. ",216948
4,Silence and Cry,1968,Drama,6.9 / 10,https://yts.rs/movie/silence-and-cry-1968," Miklós Jancsó's Silence and Cry is set during a turbulent era of disquiet, fear, persecution and terror, which permeates every corner of post-WWI Hungarian society. In 1919, after just a few months of communist rule the Hungarian Republic of Councils falls victim to a nationalist counter-revolution. Admiral Horthy, leader of the nationalist far right movement, becomes the self-proclaimed regent of Hungary, and assumes power as the legal Head of State. Soldiers of the short-lived Hungarian Red Army are now on the run from relentless secret policemen and patrol units of the nationalist Royal Gendarme. If caught, ex-Red Army soldiers are executed without mercy or proper trial. István Cserzi, a former soldier of the Red Army has fled to the Great Hungarian Plains and has taken refuge on a farm, which is run by two sympathetic women. Due to the generosity of these women and a former childhood pal, who is now a commandant of the local Royal Gendarme outfit, István is safely hidden from the ever-prying eyes of the secret policemen, who relentlessly roam the countryside searching for ex-Red Army men and their sympathisers. However, upon discovering that the women are secretly poisoning the mother-in-law and the husband, the legal owners of the farm, István must make the most difficult decision of his life. As a personal war is waging within his own consciousness over morality and self-preservation, István must decide whether to remain silent about the women's devious secret and preserve his own life, or to report their heinous crime to the Royal Gendarme, which would also mean certain death for him. —21st Century DreamQuest Films Ltd ",2222
5,Furioza,2021,ActionCrime,6.3 / 10,https://yts.rs/movie/furioza-2021," An event from the past separates the fate of three friends. Unexpectedly, in the life of David (Mateusz Banasiuk) she appears again. Dzika (Weronika Ksiazkiewicz) - once the love of his life, now an experienced policewoman, makes him an offer that cannot be rejected. Either he becomes a police informant, or his brother (Wojciech Zielinski) will go to prison with a long-term sentence. Pressed against the wall, David finally succumbs, and his main goal becomes to infiltrate in an organized criminal group. Hitting the middle of a war for influence and money, he will have to face constant suspicion from Golden's old friend (Mateusz Damiecki). He will soon discover that the world from which he tried to free himself draws him in with redoubled strength. ",17271
6,Who Killed the KLF?,2021,Documentary,7 / 10,https://yts.rs/movie/who-killed-the-klf-2021," ""Who Killed the KLF?"" explores the rise and fall of the KLF in the 1980s and 1990s, touching upon themes that perfectly capture the 21st century zeitgeist. A tale as intriguing as it is bonkers"" ",8686
7,Quai des Orfèvres,1947,CrimeDrama,7.7 / 10,https://yts.rs/movie/quai-des-orfevres-1947," Jenny Lamour wants to succeed in music hall. Her husband and accompanist is Maurice Martineau, a nice but jealous man. When he knew Jenny is making eyes at Brignon, an old businessman, in order to get some engagements, he looses his temper and threatens Brignon with death. But Jenny went anyway to a rendez-vous at the old man's, who is murdered the same evening. The criminal investigations are lead by Inspector Antoine... —Yepok ",3333
8,"20,000 Leagues Under the Sea",1916,ActionAdventure,6.1 / 10,https://yts.rs/movie/20000-leagues-under-the-sea-1916," Captain Nemo has built a fantastic submarine for his mission of revenge. He has traveled over 20,000 leagues in search of Charles Denver - a man who caused the death of Princess Daaker. Seeing what he had done, Denver took the daughter to his yacht and sailed away. He abandoned her and a sailor on a mysterious island and has come back after all these years to see if she is still alive and if the nightmares he has will stop. The daughter has been found by five survivors of a Union Army Balloon that crashed near the island. At sea, Professor Aronnax was aboard the ship 'Abraham Lincoln' when Nemo rammed it and threw the Professor, his daughter and two others into the water. Prisoners at first, they are now treated as guests to view the underwater world and to hunt under the waves. Nemo will also tells them about the Nautilus and the revenge that has driven him for all these years. —Tony Fontana ",7979
9,Motherhood: Life's Greatest Miracle,1925,Drama,5.8 / 10,https://yts.rs/movie/motherhood-lifes-greatest-miracle-1925," Two women discover they are pregnant, and experience the anxiety, discomfort, fear, hope, and ultimate joy of pregnancy and motherhood. Both fathers encounter the parallel experiences of first-time fatherhood. ",5252
10,Too Wise Wives,1921,Drama,5.8 / 10,https://yts.rs/movie/too-wise-wives-1921," Marie, wife of David Graham, is so devoted to her husband that he wearies of her constant attempts to please him and criticizes her. Sara, a former sweetheart of David's who has selfishly married for wealth, secretly determines to lure him from Marie. When forced to keep an overnight business engagement, Daly invites the Grahams to keep his wife company, and Sara writes David begging him to see her alone--but her letter is intercepted by Marie. When the Grahams accept the invitation, Marie confronts Sara with the unopened evidence. Discovering the plot, David denounces Mrs. Daly and reaffirms his love for Marie. —AFI ",5252
