,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
0,Dam999,2011,AdventureDrama,3.4 / 10,https://yts.rs/movie/dam999-2011," The story revolves around the central edifice in this movie, a 100 year old Dam built by British during their colonial days in India . Like a Dam, each character in this movie, holds back their emotions for various reasons, eventually the DAM breaks along with that of its characters drawing the audience to gripping climax. The numerical 999 has got great importance in British Colonial Indian historical pages. The story reveals the concealed truth of India's age old myths and science. —Sohan Roy ",7676
1,Gabriel's Rapture: Part Two,2022,Romance,6.7 / 10,https://yts.rs/movie/gabriels-rapture-part-two-2022," Gabriel and Julia's happiness is threatened by a conspiring student and academic politics. When Gabriel is confronted by the university administration, will he succumb to Dante's fate? Or will he fight to keep Julia, his Beatrice, forever? ",17574
2,Head Office,1985,Comedy,5.4 / 10,https://yts.rs/movie/head-office-1985," Upon graduation from college with a business degree, John Issel is promptly hired by Helmes's company I.N.C. At INC, the one who gets ahead, does it by kissing ass, or over someone else's dead body. John keeps getting promotions, but cant figure out why. Actually management doesn't care about him, they hope that having hired him, his father, Senator Issel, will vote the way they like. —Brian W Martz ",8484
3,Toto and Cleopatra,1963,Comedy,6 / 10,https://yts.rs/movie/toto-and-cleopatra-1963," Mark Antony has a brother-lookalike, Totonno, a sinister slave trader. Totonno secretly replaces Mark Antony in the most delicate moments. ",5252
4,Wacky Taxi,1972,ComedyFamily,3.5 / 10,https://yts.rs/movie/wacky-taxi-1972," A man unsatisfied in his job decides to start a taxi service. ",5959
5,Of Murder and Memory,2008,Drama,5.5 / 10,https://yts.rs/movie/of-murder-and-memory-2008," After being kicked off a jury for arriving five minutes late, a troubled woman becomes obsessed with the verdict, which sent a woman her age to prison for life. As she fights to have the case reopened, her bond with the prisoner forces her to confront questions of guilt, justice and responsibility. A true story, —Anonymous ",6161
6,"Dagmar's Hot Pants, Inc.",1971,ComedyRomance,4.2 / 10,https://yts.rs/movie/dagmars-hot-pants-inc-1971," Known to her clients as Dagmar, she's a classy Swedish call girl in Copenhagen. After two years she's ready to quit, and we follow her on what she hopes is her last day in the trade. She wakes at 9 AM, gets her first call and a marriage proposal, checks in with her doctor, pays final visits to various clients, arranges to lease her flat, passes on her black book to a colleague, tries to beg off on an impromptu session with Japanese businessmen, has a quick conversation with her brother, and makes a couple of charitable contributions. All the while, her eyes on the clock, there's the threat of her pimp finding out about her plans. If she pulls it off, what awaits? — ",14948
7,Crabs in a Barrel,2022,Comedy,0 / 10,https://yts.rs/movie/crabs-in-a-barrel-2022," Celebrating your friends is super exciting...unless you're the least successful person in the room. A jaded writer attends her frenemy's congratulatory event only to discover that she has been robbed of her career changing opportunity. Will she toast the host? Get ready to go from #LOL to #WTF. ",4949
8,Yaksha: Ruthless Operations,2022,ActionCrime,0 / 10,https://yts.rs/movie/yaksha-ruthless-operations-2022,"  ",22927
9,Land of the Minotaur,1976,Horror,4.3 / 10,https://yts.rs/movie/land-of-the-minotaur-1976," A satanic cult kidnaps 3 young people and Priest Donald Pleasence and Costas Skouras must save them from the hands of this evil! ",4444
