,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
0,"Rosa la rose, fille publique",1986,Drama,6.5 / 10,https://yts.rs/movie/rosa-la-rose-fille-publique-1986," Rosa la Rose is a Parisian hooker who works in Les Halles area. Her pimp is an understanding guy and she leads an uneventful life. One day she meets Julien, a young worker and falls in love with him. She is torn now between her new found love and her ""professional conscience""... —Salvatore Santangelo ",7272
1,Luz: The Flower of Evil,2019,DramaFantasy,5.3 / 10,https://yts.rs/movie/luz-the-flower-of-evil-2019," Far into the mountains, in a community led by a preacher named El Señor, a new child who is supposed to be the new messiah, is brought, and with him destruction and redemption. Soon, everything will change. Not only for the town, but on the preacher's home as his 3 daughters start to wonder the real origins of God itself, the nature of love, pleasure and inner freedom. —Juan Diego Escobar Alzate ",4848
2,Fukuoka,2019,Drama,6.8 / 10,https://yts.rs/movie/fukuoka-2019," Hae-hyo and Jea-moon were very good pals in college, eventually going their separate ways after falling in love with the same girl. They have not seen or heard from each other ever since. As time passes and Jea-moon approaches middle age, the memory of his college life becomes ever more refreshed, and begins to haunt him more and more frequently. At this moment, a strange girl, So-dam, not only intrudes into his quiet second-hand bookstore, but also disturbs his life, urging him to set out on a long journey to Japan to look for Hae-hyo. In Japan, when three of them finally meet in a local pub, can the problems of their past be reconciled? ",2525
3,Jazzy Misfits,2019,Action,6.3 / 10,https://yts.rs/movie/jazzy-misfits-2019," Soon Deok is raising the stocks on herself as a singer in Itaewon until her mother finds her. Turns out her sister, Yoo Ri, ran away with their money. The mother and daughter become a team to find the money and they search high and low for Yoo Ri. That is when they face secrets of the daughter and sister who they thought they knew everything about. ",2525
4,"Don't Cry, Mr. Ogre",2019,Drama,7.1 / 10,https://yts.rs/movie/dont-cry-mr-ogre-2019," What was once a superlative varsity baseball coach is now a jaded middle-aged man. He and a former student meet and the older man discovers that his now married pupil is afflicted with terminal cancer. Full of regrets of how he once treated the student the man ponders how to make it up to the man whom he once coached. —aghaemi ",2020
5,Mulberry St,2006,HorrorSci-Fi,5.5 / 10,https://yts.rs/movie/mulberry-st-2006," A deadly infection breaks out in Manhattan, causing humans to devolve into blood-thirsty rat creatures. Six recently evicted tenants must survive the night and protect their downtown apartment building as the city quickly spirals out of control. —Anonymous ",4343
6,Nailed,2019,ComedyCrime,6 / 10,https://yts.rs/movie/nailed-2019," A couple running a failing auto shop in a rural town start drumming up business by placing things in the road to blow out tires but such success always comes with a price. ",4141
7,The Sadness,2021,Horror,6.5 / 10,https://yts.rs/movie/the-sadness-2021," After a year of combating a pandemic with relatively benign symptoms, a frustrated nation finally lets its guard down. This is when the virus spontaneously mutates, giving rise to a mind-altering plague. The streets erupt into violence and depravity, as those infected are driven to enact the most cruel and ghastly things they can think of. Murder, torture, rape and mutilation are only the beginning. A young couple is pushed to the limits of sanity as they try to reunite amid the chaos. The age of civility and order is no more. There is only ""The Sadness"". ",11413
8,Yue Lao,2021,DramaFantasy,6.8 / 10,https://yts.rs/movie/yue-lao-2021," Ah-Lun, who has a choice to make in the underworld, decides to be a god of love in Chinese mythology. As he advances with his tasks on Earth, his biggest challenge is to tie a red string with the woman he loved the most. ",4949
9,Treat or Trick,2021,Thriller,6.9 / 10,https://yts.rs/movie/treat-or-trick-2021," During a police raid led by the bent cop Feng and his men, Feng's buddy Chiang gets another idea after seeing the offenders' prized possession. He takes the diamonds, skipping town to a distant village to lie low. Feng has no choice but brings his men Monk and Yang to retrieve the diamonds in 48 hours. Oddly enough, Chiang's cell phone signal suggests that he is in the village, but Feng cannot find him anywhere. Feng can only begin dealing with the seemingly innocent yet weird villagers, entailing everyone playing mind games on one another. Amidst this chaotic situation, a female ghost shows up, making it even worse - Can Feng eventually discover the truth and get his buddy back? Good or evil, the uncertainty leaves everyone unsettling and suspicious. ",5252
10,Sasaki in My Mind,2020,Drama,6.9 / 10,https://yts.rs/movie/sasaki-in-my-mind-2020," The story of a would-be actor, his larger-than-life classmate and their friends. Unfolding their past and present, Sasaki in My Mind looks head-on at adolescent sparkle and the pathos of bygone days. ",3030
11,Gracious Night,2020,Drama,5.9 / 10,https://yts.rs/movie/gracious-night-2020," During the COVID lockdown, three Finnish men get together in an otherwise empty bar, talk, and sample what is in some special bottles. ",2020
12,The Maid of the Blind Master (V),2016,DramaRomance,6.1 / 10,https://yts.rs/movie/the-maid-of-the-blind-master-v-2016," Is love truly blind? Ren Hao Ming is a blind rich businessman who hires Ruan Qing Tian as his assistant/caretaker. Although Qing Tian was forced to take the job by her stepmother, she ends up falling in love with Hao Ming through their close daily interactions. Hao Ming undergoes corneal surgery and regains his vision. He goes in search of Qing Tian to propose to her, but Ruan Xin Xin, Qing Tian's stepsister, intercepts and pretends to be her in order to marry him. Will Hao Ming realize that he married the wrong woman? ",3434
13,Against the Wall,1994,ActionDrama,6.7 / 10,https://yts.rs/movie/against-the-wall-1994," Based on the true story of the uprising at Attica Prison in 1971. Michael Smith, a new recruit to the prison service, along with several of his colleagues get caught up in a prison riot fueled by bad prison management and a lack of understanding by the guards —Rob Hartill ",7575
14,"Autumn, Autumn",2016,Drama,6.6 / 10,https://yts.rs/movie/autumn-autumn-2016," Jihyun travels to Seoul for an interview before taking a train back to his hometown of Chuncheon. On the return home, he sits next to a middle-aged couple. The film soon separates into two stories about Jihyun and the couple. ",2020
15,The Late Shift,1996,ComedyDrama,6.8 / 10,https://yts.rs/movie/the-late-shift-1996," HBO movie about the behind-the-scenes network politics responsible for the changes in late-night talk-show hosts, after the retirement of Johnny Carson from the Tonight Show on NBC. Jay Leno and David Letterman were both vying for the position, but Leno's tough manager Helen Kushnick got him the spot. In the wake of her 'stepping on the toes' of powerful network executives and 'playing hardball' tactics with guest bookings, she found herself being pushed out of her job as Tonight Show Executive Producer and Jay's manager. Letterman, devastated by his being passed over, brought in superagent Mike Ovitz to negotiate on his behalf, resulting in his move to CBS. —Tad Dibbern ",4747
16,"Whitney, a Look Back",2022,Biography,5.7 / 10,https://yts.rs/movie/whitney-a-look-back-2022," In 2012, the world lost a music icon. In celebration of the life and career of Whitney Houston this documentary shows never-before-seen footage and interviews of the late artist. The one-hour special includes lost performances and rare moments with Whitney, alongside new interviews with those who knew her best including Dionne Warwick, Clive Davis, CeCe Winans, Monica, and Kelly Price. —jakkepoes ",6464
17,Consequence,2003,ActionThriller,4.9 / 10,https://yts.rs/movie/consequence-2003," A man does an identity switch to collect insurance money but finds himself in danger. ",4848
18,The Woman Who Loved Elvis,1993,Drama,4.2 / 10,https://yts.rs/movie/the-woman-who-loved-elvis-1993," In 1982, Iowan suburban housewife Joyce Jackson (Roseanne) is an obsessed fan of the late Elvis Presley. She's used the so-called King of Rock and Roll's inspiration to turn her small house into a wacky shrine. Convinced that Elvis is still alive, five years after his death, Joyce concocts a plan to set off and find and meet him, so she enlists the help of her estranged husband Jack (Tom Arnold). —Larry B. ",3030
19,Glory at Sea,1952,AdventureDrama,6.3 / 10,https://yts.rs/movie/glory-at-sea-1952," In 1940, a mothballed American destroyer is commissioned in the Royal Navy. Her experienced Commanding Officer has had a checkered career and the crew are mostly lacking sea experience. A series of mishaps seem to dog the ship for some time, and the personal lives of the crew are turbulent, but at last the ship's company make good and the destruction of a U-boat marks their first success. Now they are asked to volunteer for the most dangerous mission they will encounter. —Hazel Freeman ",5050
0,The Early Bird,1965,Comedy,6.7 / 10,https://yts.rs/movie/the-early-bird-1965," Norman is the assistant trying to assist the operation of a small, old-fashioned dairy which is being threatened by a larger, modern organisation. Norman gives his best attempts to save the dairy (and his horse), and the usual chaos ensues. —Steve Crook ",7474
1,The Bodyguard,1984,AdventureComedy,4.7 / 10,https://yts.rs/movie/the-bodyguard-1984," An accountant works in his bossy mom's marriage bureau;at 33,Paul is still under her thumb and his fiancee cheats on him with one of his friends .He meets Barbara and falls in love with her ;sadly, she prefers Julien ,a more handsome guy, who manages a zoo ;but this good-looking chap 's first two wives mysteriously died .For fear Barbara may meet the same fate as the alleged victims, the rejected suitor follows them to Morocco where the newly -weds are to spend their honeymoon.Paul becomes some kind of bride's bodyguard ,but Barbara is blind to what could well be murder attempts. —dbdumonteil ",6666
2,Double Suicide of Sonezaki,1978,CrimeDrama,6.7 / 10,https://yts.rs/movie/double-suicide-of-sonezaki-1978," A rich merchant gives his clerk an I.O.U. instead of wages. When the impoverished clerk presents the paper to the merchant at the agreed upon time asking for payment, the man flies into a rage and pretends he never wrote it and claims the clerk is trying to defraud him. —Luka Sabljak ",5252
3,The Invisibles,2014,Documentary,5.3 / 10,https://yts.rs/movie/the-invisibles-2014," Their arrival in Germany is not exactly a warm welcome: Asylum seekers in Brandenburg are first brought to the initial registration center in Eisenhüttenstadt. Also Wasim from Syria, Mathew from Kenya and Gedeon from Cameroon are stranded at this surreal place in the outskirts of nowhere. ""The Invisibles"" follows the three men on their way through the official proceedings, the mills of detecting and decision making. A snapshot of a life on hold, between hope and uncertainty. ",3636
4,The Crossing,2021,AnimationDrama,7.5 / 10,https://yts.rs/movie/the-crossing-2021," An animated feature film following the dramatic journey of two siblings, Kyona and her brother Adriel, who are running away, because they are being pursued by an unspecified Eastern European country. ",5050
5,Precious Things,2017,CrimeDrama,4.7 / 10,https://yts.rs/movie/precious-things-2017," A mother is determined to prove that her daughter is innocent of murder. ",5757
6,Carmen,1984,DramaMusic,7.5 / 10,https://yts.rs/movie/carmen-1984," A film version of the famous Bizet opera, where a soldier (Don Jose) falls in love with a beautiful factory worker (Carmen), but she does not reciprocate his feelings. —Michel Rudoy ",6969
7,Big Cat Week The Way of the Cheetah,2022,Documentary,7.7 / 10,https://yts.rs/movie/big-cat-week-the-way-of-the-cheetah-2022," Cheetah are the most fragile cats physically and now there are under 7,000 left in the world. Our story tells of Immani, a sleek female with 4 cubs as they navigate the plains of the Maasai Mara ecosystem. Also living here is also a coalition of 5 cheetah males. To save her cubs, Immani must avoid them. This is a film by Dereck and Beverly Joubert, who have made dozens of big cat films, but never one on cheetahs. —Nat Geo Wild ",12221
8,Biffy Clyro: Cultural Sons of Scotland,2022,DocumentaryMusic,8.5 / 10,https://yts.rs/movie/biffy-clyro-cultural-sons-of-scotland-2022," Inspired by the industry wide reset, the band reflect on their careers for the first time as they reconnect with their homeland and create their 9th and most DIY record to date in the most unusual of environments. ",6363
9,Bad Luck Banging or Loony Porn,2021,ComedyDrama,6.6 / 10,https://yts.rs/movie/bad-luck-banging-or-loony-porn-2021," Emi, a school teacher, finds her career and reputation under threat after a personal sex tape is leaked on the Internet. Forced to meet the parents demanding her dismissal, Emi refuses to surrender to their pressure. Radu Jude (Aferim!) delivers an incendiary mix of unconventional form, irreverent humor and scathing commentary on hypocrisy and prejudice in our societies. ",9696
10,The Accused,2018,CrimeDrama,6 / 10,https://yts.rs/movie/the-accused-2018," Dolores Dreier lives the life of a young student until her best friend is brutally murdered. Two years later, she is the only one accused of the crime in a case of great media exposure that has put her in the center of the scene: everyone has an opinion about her innocence or guilt. Dolores prepares for the isolated trial at home, while the Dreier family works as a team willing to do everything to defend their daughter. But as the process progresses and the pressure increases, secrets and suspicion appear within the family. Cornered by the evidence, Dolores must face her own doubts about what really happened. ",6262
